stethography,rrvalues
-1.5844,0.731
0.0838,0.732
1.3779,0.734
1.133,0.747
-0.5802,0.788
-1.5283,0.796
-0.4521,0.78
1.0849,0.757
1.4201,0.739
0.4533,0.763
-1.1498,0.755
-1.5431,0.772
-0.0388,0.762
1.3682,0.771
1.1369,0.783
-0.5981,0.815
-1.3776,0.814
-0.738,0.81
0.8561,0.796
1.3172,0.762
0.2874,0.758
-0.9237,0.73
-1.2103,0.732
-0.4446,0.735
0.9158,0.742
1.1084,0.769
-0.1402,0.814
-0.796,0.836
0.3777,0.803
1.1883,0.762
0.6935,0.764
-0.7474,0.75
