heartrate,rrvalues
75.0697,0.799
77.1998,0.778
77.9022,0.77
78.3124,0.766
77.4431,0.775
76.9356,0.78
79.9842,0.75
80.2881,0.747
76.6578,0.783
78.5522,0.764
76.1983,0.787
75.7695,0.792
75.5062,0.795
76.1633,0.787
76.8366,0.781
79.1646,0.758
80.3585,0.747
78.8446,0.761
77.1418,0.778
72.5021,0.827
72.2016,0.831
75.0066,0.8
75.5451,0.794
74.009,0.811
74.1951,0.809
76.1481,0.788
76.2296,0.787
76.4421,0.785
75.0132,0.799
74.9284,0.801
75.5482,0.794
76.3019,0.787
74.2421,0.808
74.4795,0.806
74.5877,0.804
76.7785,0.781
77.6483,0.773
77.1287,0.778
74.9256,0.801
74.8411,0.802
76.2203,0.787
78.2588,0.766
78.3037,0.767
77.915,0.77
76.1494,0.788
73.6189,0.815
73.9458,0.811
73.8949,0.812
71.6161,0.838
72.6503,0.826
74.3102,0.807
77.785,0.772
78.1918,0.767
77.8269,0.771
76.3738,0.785
74.5999,0.805
74.9146,0.801
76.4155,0.785
75.5554,0.794
75.5514,0.794
75.606,0.794
76.046,0.789
77.0165,0.779
75.1088,0.799
74.1939,0.808
73.861,0.813
75.9644,0.789
76.9792,0.78
77.5152,0.774
78.2039,0.767
76.8147,0.781
78.5887,0.764
80.1536,0.748
82.5183,0.727
77.3633,0.776
79.6755,0.753
79.9861,0.75
83.4084,0.719
87.5155,0.686
89.881,0.668
84.7788,0.707
83.4233,0.72
81.6994,0.734
80.9574,0.741
78.7759,0.762
76.6811,0.782
73.9221,0.812
76.6577,0.783
76.504,0.784
77.2938,0.776
76.0329,0.789
75.9032,0.791
75.4189,0.795
75.8658,0.791
77.0046,0.779
75.422,0.796
76.7824,0.781
78.2235,0.767
78.6909,0.763
77.9279,0.77
76.4562,0.785
74.5163,0.805
72.2541,0.83
70.2229,0.855
71.17,0.843
74.3985,0.806
73.9301,0.812
74.4935,0.805
75.0765,0.799
75.0272,0.8
75.4668,0.795
75.462,0.795
74.4985,0.805
72.0651,0.833
71.0898,0.844
69.9265,0.858
71.471,0.84
71.7696,0.836
71.9181,0.834
70.641,0.849
73.4559,0.817
72.8957,0.823
75.7877,0.792
77.5131,0.774
76.3718,0.786
77.0231,0.779
75.6243,0.793
73.44,0.817
72.5071,0.827
71.6146,0.838
72.056,0.833
