SpO2,rrvalues
92.2854,0.756
92.2866,0.742
92.2866,0.741
92.2866,0.756
92.2857,0.787
92.2865,0.81
92.2865,0.813
92.2872,0.786
92.2875,0.765
92.2857,0.758
92.2865,0.708
92.2874,0.673
92.2861,0.647
92.2871,0.67
92.2868,0.707
92.286,0.733
92.2872,0.76
92.287,0.783
92.2867,0.789
92.2866,0.811
92.2859,0.788
92.2866,0.771
92.2873,0.728
92.2874,0.723
92.2857,0.689
92.2865,0.714
92.2871,0.709
92.286,0.721
92.2872,0.728
92.2869,0.759
92.2872,0.791
92.2867,0.785
92.286,0.768
92.2871,0.736
92.2872,0.7
92.2859,0.721
92.2868,0.711
92.2868,0.717
92.2879,0.707
92.2862,0.713
92.2875,0.724
92.2872,0.784
92.2871,0.796
92.2852,0.793
92.2868,0.792
92.2875,0.764
92.287,0.758
92.2857,0.748
92.2869,0.737
92.2873,0.728
92.287,0.707
92.2861,0.683
92.2871,0.69
92.2874,0.712
92.2857,0.759
92.2866,0.844
91.5489,0.831
91.2828,0.845
91.282,0.821
91.2824,0.81
91.2809,0.806
91.2821,0.777
91.2824,0.765
91.2826,0.754
91.2806,0.755
91.2817,0.762
91.2822,0.806
91.2821,0.827
91.2821,0.843
91.2822,0.847
91.2812,0.837
91.2821,0.814
91.8803,0.788
92.2876,0.756
92.288,0.759
91.3018,0.763
91.2818,0.733
91.2828,0.691
91.2813,0.68
91.2826,0.675
91.2821,0.672
91.2815,0.704
91.2832,0.698
91.2827,0.755
91.2819,0.773
91.2815,0.784
91.2826,0.775
91.2822,0.744
91.2823,0.735
91.2815,0.735
91.2823,0.739
90.784,0.711
90.2788,0.722
90.2778,0.7
90.279,0.715
90.5706,0.719
91.2815,0.744
91.2815,0.751
91.2823,0.752
91.2825,0.751
91.2815,0.738
91.2824,0.745
91.2823,0.753
91.2822,0.745
91.2811,0.732
91.2828,0.73
91.2822,0.723
91.2826,0.717
91.2812,0.726
91.2821,0.734
91.2821,0.746
91.2822,0.76
91.2815,0.766
91.2825,0.75
91.2821,0.748
91.2824,0.749
91.2806,0.738
91.2823,0.735
91.2827,0.745
91.2826,0.736
91.2815,0.741
91.2816,0.739
90.9489,0.74
90.2792,0.74
90.2775,0.761
90.2789,0.762
90.279,0.791
90.2788,0.801
90.2771,0.8
91.1559,0.787
91.2825,0.772
91.2823,0.76
91.2815,0.743
91.2814,0.752
91.2822,0.754
91.2823,0.757
91.2819,0.765
91.2809,0.795
91.282,0.799
91.2816,0.79
91.2821,0.745
91.281,0.709
91.2824,0.706
90.9515,0.692
90.278,0.69
90.2796,0.697
90.279,0.714
90.2786,0.715
90.2773,0.716
90.2788,0.718
90.279,0.704
90.277,0.72
90.2784,0.738
90.2787,0.749
90.2778,0.743
90.2774,0.748
90.2786,0.729
90.7566,0.744
91.1291,0.761
90.2769,0.764
90.2785,0.764
90.2787,0.758
90.278,0.757
90.2769,0.765
90.2785,0.756
90.2784,0.757
90.2787,0.759
90.2787,0.781
90.2773,0.815
90.2777,0.865
90.891,0.879
91.2821,0.856
91.2819,0.86
91.2821,0.857
91.2815,0.847
91.2813,0.82
90.5673,0.774
90.2787,0.752
90.2793,0.748
90.2773,0.759
90.2781,0.788
90.2786,0.823
89.9859,0.816
89.2747,0.787
89.2736,0.772
89.2747,0.781
89.2745,0.776
89.2742,0.772
89.2737,0.753
89.2754,0.742
89.2744,0.733
89.2749,0.71
89.2735,0.726
89.2744,0.694
89.2743,0.682
89.2731,0.653
90.0093,0.671
90.279,0.671
90.2769,0.694
90.2789,0.708
90.2793,0.728
90.2783,0.766
90.2766,0.774
90.278,0.772
90.279,0.752
90.2786,0.738
90.2773,0.726
90.2783,0.725
90.2788,0.719
90.2778,0.732
90.2772,0.723
90.2787,0.72
90.2788,0.724
90.2767,0.745
90.2782,0.721
90.2784,0.718
90.2791,0.713
90.2773,0.677
90.2791,0.687
90.2788,0.709
90.2771,0.692
90.2784,0.704
90.279,0.707
90.2779,0.7
90.2788,0.717
90.2784,0.739
