stethography,rrvalues
-0.7738,0.785
-0.8109,0.805
0.6115,0.801
1.1646,0.785
0.5583,0.794
-0.5909,0.794
-0.5635,0.794
0.8309,0.789
1.2415,0.779
0.6645,0.799
-0.6608,0.808
-0.9163,0.813
0.3553,0.789
1.2672,0.78
0.8825,0.774
-0.167,0.767
-0.7767,0.781
0.5199,0.764
1.3163,0.748
0.2376,0.727
1.7054,0.776
-0.0692,0.753
-1.3858,0.75
-1.313,0.719
-0.9031,0.686
-0.8917,0.668
-1.0889,0.707
-0.4366,0.72
1.04,0.734
1.4724,0.741
0.6369,0.762
-0.6998,0.782
-0.9217,0.812
-0.1017,0.783
1.1686,0.784
1.3478,0.776
0.6143,0.789
-0.5638,0.791
-0.9834,0.795
0.1471,0.791
1.1732,0.779
0.4375,0.796
-1.3758,0.781
-1.9741,0.767
-0.8342,0.763
0.9672,0.77
1.356,0.785
0.4829,0.805
-0.7274,0.83
-0.8086,0.855
0.4695,0.843
1.3143,0.806
0.8464,0.812
-0.4365,0.805
-0.845,0.799
-0.3869,0.8
0.8622,0.795
1.3348,0.795
0.974,0.805
-0.1073,0.833
-1.0605,0.844
-0.81,0.858
0.4087,0.84
1.2864,0.836
1.0678,0.834
-0.1726,0.849
-0.7649,0.817
0.0898,0.823
1.1185,0.792
1.1113,0.774
0.1456,0.786
-0.8466,0.779
-0.2513,0.793
0.9276,0.817
1.0453,0.827
-0.0461,0.838
-0.7185,0.833
