"ECG","Rrvalues"
"-1.363","0.808"
"-1.3692","0.802"
"-1.3648","0.786"
"-1.3489","0.811"
"-1.3567","0.833"
"-1.3604","0.833"
"-1.3715","0.829"
"-1.37","0.799"
"-1.3493","0.79"
"-1.321","0.805"
"-1.3932","0.796"
"-1.3781","0.786"
"-1.3732","0.792"
"-1.3712","0.809"
"-1.369","0.822"
"-1.3538","0.821"
"-1.3569","0.821"
"-1.354","0.822"
"-1.3621","0.82"
"-1.3712","0.821"
"-1.3731","0.785"
"-1.3592","0.792"
"-1.3618","0.807"
"-1.3713","0.815"
"-1.3785","0.821"
"-1.3703","0.818"
"-1.3618","0.782"
"-1.3621","0.808"
"-1.3773","0.802"
"-1.3676","0.804"
"-1.3608","0.805"
"-1.3665","0.782"
"-1.3756","0.807"
"-1.3837","0.802"
"-1.3771","0.786"
"-1.3632","0.784"
"-1.3537","0.795"
"-1.3663","0.79"
"-1.3875","0.774"
"-1.38","0.775"
"-1.3727","0.767"
"-1.3612","0.78"
"-1.3582","0.804"
"-1.3699","0.812"
"-1.3729","0.796"
"-1.3738","0.793"
"-1.3601","0.794"
"-1.3626","0.787"
"-1.3716","0.779"
"-1.3679","0.769"
"-1.3601","0.771"
"-1.3563","0.783"
"-1.3793","0.792"
"-1.3903","0.795"
"-1.3747","0.789"
"-1.3688","0.786"
"-1.3698","0.798"
"-1.3741","0.808"
"-1.378","0.805"
"-1.3786","0.81"
"-1.375","0.814"
"-1.3664","0.826"
"-1.3777","0.84"
"-1.3833","0.823"
"-1.3702","0.754"
"-1.3606","0.739"
"-1.3462","0.724"
"-1.3498","0.727"
"-1.3443","0.747"
"-1.3593","0.773"
"-1.3781","0.809"
"-1.374","0.817"
"-1.3802","0.821"
"-1.3951","0.814"
"-1.3756","0.809"
"-1.3599","0.812"
"-1.3718","0.795"
"-1.3719","0.786"
"-1.3612","0.772"
"-1.3587","0.759"
"-1.3612","0.762"
"-1.3686","0.779"
"-1.3726","0.776"
"-1.3676","0.803"
"-1.3584","0.788"
"-1.3546","0.798"
"-1.367","0.799"
"-1.382","0.806"
"-1.3701","0.803"
"-1.356","0.773"
"-1.3578","0.776"
"-1.3616","0.78"
