"ecg","Rrvalues"
"-1.3601","0.745"
"-1.3803","0.757"
"-1.3972","0.769"
"-1.3937","0.759"
"-1.3731","0.734"
"-1.3486","0.732"
"-1.362","0.751"
"-1.3818","0.776"
"-1.3667","0.78"
"-1.3589","0.789"
"-1.3531","0.786"
"-1.3568","0.788"
"-1.3763","0.81"
"-1.3852","0.819"
"-1.3774","0.824"
"-1.3537","0.799"
"-1.3632","0.801"
"-1.3721","0.82"
"-1.3739","0.821"
"-1.3733","0.793"
"-1.36","0.797"
"-1.3573","0.798"
"-1.3618","0.807"
"-1.3654","0.806"
"-1.3621","0.815"
"-1.3681","0.811"
"-1.3432","0.823"
"-1.3504","0.819"
"-1.3656","0.841"
"-1.3771","0.838"
"-1.3735","0.839"
"-1.365","0.801"
"-1.3476","0.791"
"-1.3572","0.782"
"-1.3638","0.778"
"-1.3703","0.783"
"-1.3706","0.8"
"-1.3742","0.793"
"-1.368","0.817"
"-1.3642","0.812"
"-1.3586","0.826"
"-1.3572","0.822"
"-1.3721","0.816"
"-1.3644","0.787"
"-1.3537","0.774"
"-1.3584","0.741"
"-1.3646","0.749"
"-1.3677","0.75"
"-1.3718","0.76"
"-1.3727","0.774"
"-1.3625","0.781"
"-1.3589","0.798"
"-1.3829","0.805"
"-1.3913","0.805"
"-1.3721","0.783"
"-1.3479","0.777"
"-1.3417","0.772"
"-1.3516","0.759"
"-1.3643","0.757"
"-1.371","0.74"
"-1.3665","0.712"
"-1.3516","0.709"
"-1.3543","0.705"
"-1.3626","0.728"
"-1.3602","0.787"
"-1.3719","0.8"
"-1.3932","0.819"
"-1.35","0.814"
"-1.349","0.79"
"-1.3492","0.791"
"-1.3557","0.786"
"-1.369","0.766"
"-1.3711","0.74"
"-1.3718","0.705"
"-1.3769","0.702"
"-1.3722","0.717"
"-1.37","0.739"
"-1.356","0.779"
"-1.3472","0.804"
"-1.3434","0.811"
"-1.3541","0.821"
"-1.3573","0.828"
"-1.3608","0.794"
"-1.3636","0.775"
"-1.3676","0.735"
"-1.3713","0.736"
"-1.3716","0.714"
"-1.368","0.725"
"-1.373","0.738"
"-1.3565","0.764"
"-1.3588","0.776"
"-1.3634","0.818"
"-1.3844","0.827"
"-1.3772","0.823"
"-1.3803","0.782"
"-1.3651","0.775"
"-1.345","0.761"
"-1.3522","0.754"
"-1.3599","0.763"
"-1.3715","0.769"
"-1.3697","0.757"
"-1.374","0.776"
"-1.3762","0.817"
"-1.3448","0.82"
"-1.3367","0.836"
"-1.3567","0.813"
"-1.3603","0.794"
"-1.3565","0.8"
"-1.3636","0.776"
"-1.3522","0.755"
"-1.3269","0.759"
"-1.3429","0.732"
"-1.3552","0.733"
"-1.3642","0.755"
"-1.3891","0.756"
"-1.3767","0.767"
"-1.3597","0.758"
"-1.3632","0.793"
"-1.3743","0.821"
"-1.3815","0.835"
"-1.3759","0.805"
"-1.3624","0.753"
"-1.3531","0.724"
"-1.3417","0.738"
"-1.3643","0.736"
"-1.3751","0.777"
"-1.3907","0.837"
"-1.3813","0.81"
"-1.3408","0.806"
"-1.3537","0.796"
"-1.356","0.816"
"-1.3748","0.82"
"-1.3778","0.82"
"-1.3713","0.81"
"-1.352","0.764"
"-1.3514","0.767"
"-1.353","0.724"
"-1.354","0.743"
"-1.3706","0.753"
"-1.3791","0.768"
"-1.372","0.76"
"-1.3547","0.762"
"-1.3528","0.746"
"-1.3469","0.781"
"-1.3532","0.791"
"-1.3702","0.749"
"-1.3645","0.693"
"-1.3741","0.669"
